@lat	@lon	name	addr:city	addr:district
39.9254075	32.8319519	Başkent Üniversitesi Hastanesi		
39.9047963	32.8633166	Özel Çankaya Hastanesi		
39.9093866	32.8598732	Özel Biltaş Böbrek Taşı Kırma Merkezi		
37.0399394	27.4289622	Bodrum Amerikan Hastanesi		
40.0608258	32.1163283	Doktor		
40.0608996	32.1165340	Fizik Tedavi Merkezi		
39.9043285	32.8664682	Özel Denge İç Hastalıkları Merkezi		
39.8932607	32.8796874	Semt Polikliniği		
36.6223089	29.1150102			
41.0259618	29.0218119	Hospital Türk		
38.7282169	35.4932213			
41.0336496	28.9641454			
41.0111084	29.0190475			
36.8566029	30.7468263	Medical Park		
39.8976812	41.2398127	Yakutiye Araştırma Hastanesi	Erzurum	
41.0060255	28.7968486	Vera Tıp Merkezi		
41.0964088	29.0535611	Baltalimanı Hastanesi		
41.0632063	29.0042388	Florence Nightingale	İstanbul	Beşiktaş
41.0396776	29.0522183	Özel Küplüce Tıp Merkez		
38.7370205	41.4942881	Şifa Hastanesi		
40.8787769	29.2368748	Özel Remedy Hospital		
41.0479666	28.8449942	Özel Bağcılar Tekden Hastanesi		
40.9776640	28.8730593	Acıbadem Hospital		
37.8600215	27.2678679	Kuşadası Özel Hastanesi		
40.2109163	28.9755935	Anadolu Hastanesi		
41.6855268	26.5432238	Bayezıd Ünitesi		
37.8274484	30.5399429	SDÜ Araştırma ve Uygulama Hastanesi		
40.7933683	29.4333872	Gebze Şifa Tıp Merkezi		
41.0672214	29.0013232	Çevre Hastanesi		
41.0673508	29.0013661	Aksoy Hastanesi		
41.0112282	28.6428053	Birinci Göz Hastanesi Beylikdüzü		
41.0190770	28.6274846	Dünya Göz Hastanesi Beykent		
41.0533806	28.9952948	Amerikan Hastanesi		
39.9595395	32.5667538	Nurlu Göz Hastanesi		
41.0574490	28.9158289	Belde Tıp Merkezi		
41.0347149	28.6806966	Alataş Polikliniği		
39.0058606	31.1442464		Emirdağ	
37.3542553	27.2682281	Hastane		
38.4320160	27.1473523	Kaşkaloğlu Göz Hastanesi		
41.0054462	28.7061163	Özel Avcılar Anadolu Hastanesi		
40.9947818	28.7095930	Özel Avcılar Hospital	istanbul	avcılar
40.9812753	28.7211479	Özel Medicana Hastanesi		
37.5775797	36.9287658	Hayat Hastanesi		
41.0554676	28.9983966	İstanbul Tüpbebek		
41.0327835	28.9640160	Kasım Paşa Asker Hastanesi		
38.4640228	27.0932624	Başkent Üniversitesi Zübeyde Hanım Uygulama Merkezi	Karsiyaka	
36.6143708	30.5556965	Anadolu hastanesi		
37.7404059	29.1067181	PAÜ Tıp Fakültesi Acil Servis		
36.6643272	30.5597447	Orçun Eczanesi	göynük	
37.9694908	34.6462647	Niğde Ömer Halisdemir Üniversitesi Eğitim Ve Araştırma Hastanesi		
38.4613584	27.1160003	Zübeyde Hanım Tıp Merkezi		
38.4499935	27.2036447	Özel EntoKBB Cerrahi Tıp Merkezi		
38.3490534	38.3226480	Hayat Hastanesi		
39.9646800	32.9550957	Hüseyingazi Semt Polikliniği	Mamak/Ankara	
39.9572683	32.8953316	Ankara Numune Hastanesi Siteler		
36.7830044	34.5920230	Yenişehir Hastanesi		
41.0789994	28.9270647	Alibey Hastanesi		
36.9870027	35.3075898	Hacetepeliler Cerrahi Tıp Merkezi		
39.9064721	32.8635098	Özel Koru Kavaklıdere Hastanesi		
40.7012589	40.2313934	Ataköy Ruh ve Sinir Hastalıkları Hastanesi		
40.8118114	39.6111683	Maçka Ömer Burhanoğlu Fizik Tedavi ve Rehabilitasyon Hastanesi		
39.8924972	32.8263122	Özel Ankara Cerrahi Tıp Merkezi		
41.0241414	28.9166504	Koç Üniversitesi Hastanesi		
41.0178075	28.6608987	Özel Mediplus Tıp Merkezi		
40.9970758	28.8560596	Bakırköy Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi Bahçelievler Polikliniği		
36.9938983	35.3243209	Özel Adana Hastanesi		
37.9214896	40.2583356	Dicle Üni. Çocuk Hastanesi		
39.9446624	32.7189293			
39.9446434	32.7186639			
39.9446434	32.7191346			
41.4494855	27.9320990	Pazarcık Aile Sağlığı Merkezi		
40.7814324	30.4001928	Bilge Hastanesi		
37.0645025	37.3949350	Özel Deva Hastanesi		
41.0245743	28.9742012	Beyoğlu Göz Hastanesi		
40.1154569	26.4135683	ÇOMÜ Tıp Fakültesi Hastanesi		
41.0614165	28.8016254	Özel Akgün Tem Hastanesi		
41.0314549	28.9749110	Beyoglu		
40.9784959	27.5118297	Özel Star Medica Hospital		
41.0113498	28.6451328			
40.2062437	28.9937293	Özel Jimer Hastanesi		
41.0437273	28.8796744	Güney Hastanesi		
39.8908191	32.7105063	Medisun Hastanesi		
41.0125315	28.9400268	Medipol Üniversitesi Fındıkzade Hastanesi	İstanbul	Fatih
41.0156766	28.9507717	Özel Fatih Hastanesi	İstanbul	Fatih
41.0555721	28.9980027	İstanbul Cerrahi Hastanesi		
